SNPChr	ProbeName	SNPName	SNPChrPos	SNPChrPos	PValue	.	.
6	VNN2	rs1883613	133077063	133077063	2.60486E-7	.	.
12	CLEC12A	rs479499	10137557	10137557	2.94396E-7	.	.
12	CLEC12A	rs3903806	10135439	10135439	3.13077E-7	.	.
6	HLA-DQA2	SNP6-32735678	32627700	32627700	3.329E-7	.	.
6	VNN2	rs2294758	133045812	133045812	3.64924E-7	.	.
12	CLEC12B	rs479499	10137557	10137557	4.7735E-7	.	.
12	CLEC12B	rs3903806	10135439	10135439	5.07118E-7	.	.
3	CCDC80	SNP3-113772195	112289505	112289505	5.07647E-7	.	.
3	CCDC80	SNP3-113667462	112184772	112184772	5.38672E-7	.	.
7	TRGV3	SNP7-38369042	38402517	38402517	6.84184E-7	.	.
21	PWP2	rs7676	45565473	45565473	6.8489E-7	.	.
15	NUSAP1	rs9568	41573612	41573612	7.22559E-7	.	.
1	PIGC	rs1063412	172410967	172410967	7.52113E-7	.	.
12	CLEC1B	rs3903806	10135439	10135439	7.65357E-7	.	.
17	GOSR1	rs9406	28794020	28794020	7.66143E-7	.	.
1	GSTM4	rs2301230	110136458	110136458	8.11422E-7	.	.
12	CLEC12A	rs1060648	10136199	10136199	8.59273E-7	.	.
9	NMRK1	rs3752955	77684690	77684690	1.14573E-6	.	.
11	TMEM9B-AS1	SNP11-8934406	8977830	8977830	1.2828E-6	.	.
11	SLC1A2	rs1467558	35229673	35229673	1.2828E-6	.	.
12	POC1B	rs2230281	89917518	89917518	1.33012E-6	.	.
12	CLEC12B	rs1060648	10136199	10136199	1.43414E-6	.	.
5	ADAMTS6	rs27141	64881936	64881936	1.43558E-6	.	.
12	CLEC12A	rs684134	10137259	10137259	1.63488E-6	.	.
5	ADAMTS6	rs467362	64863688	64863688	1.66449E-6	.	.
17	HEATR6	rs237969	58325868	58325868	1.82768E-6	.	.
12	CLEC12A	SNP12-10034765	10143498	10143498	1.93018E-6	.	.
12	CLEC12B	rs684134	10137259	10137259	1.93018E-6	.	.
13	POLR1D	rs7097	28197436	28197436	2.0042E-6	.	.
1	HORMAD1	SNP1-149004824	150738200	150738200	2.36309E-6	.	.
1	HORMAD1	rs10888390	150727539	150727539	2.36309E-6	.	.
6	HCG22	SNP6-31280023	31172044	31172044	2.40054E-6	.	.
3	ATP13A4	rs1056392	193414733	193414733	2.49179E-6	.	.
1	C1orf105	rs1063412	172410967	172410967	2.72405E-6	.	.
5	FAM114A2	rs478020	153429169	153429169	2.77781E-6	.	.
5	FAM114A2	SNP5-153414636	153434443	153434443	2.87155E-6	.	.
12	CLEC12A	rs607567	10131684	10131684	2.97411E-6	.	.
6	HCG22	rs4122189	31167927	31167927	3.26823E-6	.	.
17	LRRC37A	SNP17-41604546	44248769	44248769	3.44719E-6	.	.
17	LRRC37A	SNP17-41515668	44159849	44159849	3.44719E-6	.	.
5	ADAMTS6	rs27394	64965757	64965757	3.49422E-6	.	.
12	CLEC12B	SNP12-10034765	10143498	10143498	3.67791E-6	.	.
5	LINC01187	rs315717	169685163	169685163	3.8337E-6	.	.
5	LINC01187	rs432621	169686007	169686007	3.8337E-6	.	.
6	VNN3	SNP6-133114343	133072650	133072650	4.03833E-6	.	.
5	FAM114A2	SNP5-153409652	153429459	153429459	4.488E-6	.	.
5	FAM114A2	rs2578377	153413390	153413390	4.488E-6	.	.
5	FAM114A2	SNP5-153412926	153432733	153432733	4.488E-6	.	.
5	FAM114A2	rs1057772	153372525	153372525	4.53986E-6	.	.
5	FAM114A2	rs1382278	153434407	153434407	4.87724E-6	.	.
12	METTL25	rs10778908	82783668	82783668	4.98543E-6	.	.
12	CLEC1B	rs1060648	10136199	10136199	4.98543E-6	.	.
12	CLEC1B	rs479499	10137557	10137557	5.53016E-6	.	.
15	NUSAP1	rs7162231	41591859	41591859	7.53456E-6	.	.
17	KANSL1-AS1	SNP17-41604546	44248769	44248769	8.34252E-6	.	.
17	KANSL1-AS1	SNP17-41515668	44159849	44159849	8.34252E-6	.	.
6	GPR63	rs6684	97339078	97339078	9.95263E-6	.	.
2	TSGA10	rs2516835	99779131	99779131	1.0242E-5	.	.
12	METTL25	rs4296098	82792787	82792787	1.04619E-5	.	.
12	CLEC12A	SNP12-10015800	10124533	10124533	1.10773E-5	.	.
3	EFHB	SNP3-19967436	19992432	19992432	1.12727E-5	.	.
3	ULK4	rs2272007	41996136	41996136	1.22326E-5	.	.
3	CCDC80	rs2969896	112256630	112256630	1.30658E-5	.	.
5	FAM114A2	SNP5-153414211	153434018	153434018	1.4132E-5	.	.
6	VNN3	SNP6-133087595	133045902	133045902	1.4132E-5	.	.
12	POC1B	rs2230283	89916811	89916811	1.44178E-5	.	.
12	CLEC12B	rs607567	10131684	10131684	1.51429E-5	.	.
21	CHODL-AS1	SNP21-18086961	19165090	19165090	1.58882E-5	.	.
6	HLA-DQB2	SNP6-32735678	32627700	32627700	1.66684E-5	.	.
6	VNN3	rs1883613	133077063	133077063	1.74851E-5	.	.
20	SIRPB1	rs3848783	1530150	1530150	1.79641E-5	.	.
5	FAM114A2	rs2255493	153432970	153432970	1.92515E-5	.	.
12	ZNF641	SNP12-47022706	48736439	48736439	2.1187E-5	.	.
12	CLEC1B	rs684134	10137259	10137259	2.21734E-5	.	.
11	OR52B6	SNP11-5683743	5727167	5727167	2.21932E-5	.	.
18	POLI	rs8305	51820805	51820805	2.27334E-5	.	.
1	OMA1	rs3087585	58971831	58971831	2.33069E-5	.	.
12	CLEC1B	rs607567	10131684	10131684	2.55371E-5	.	.
12	CLEC12B	SNP12-10015800	10124533	10124533	2.61776E-5	.	.
1	LRRIQ3	rs12046751	74670172	74670172	2.68808E-5	.	.
20	SIRPB1	SNP20-1478263	1530263	1530263	2.9486E-5	.	.
12	LINC02470	SNP12-10034765	10143498	10143498	3.07554E-5	.	.
1	HORMAD1	SNP1-148969287	150702663	150702663	3.09176E-5	.	.
12	A2M-AS1	SNP12-9052915	9161648	9161648	3.15196E-5	.	.
12	A2M	SNP12-9052915	9161648	9161648	3.15196E-5	.	.
11	HBE1	rs10769180	5719251	5719251	3.23585E-5	.	.
5	SETD9	SNP5-56149607	56113850	56113850	3.23868E-5	.	.
10	CELF2-AS2	SNP10-11298992	11258986	11258986	3.30159E-5	.	.
12	A2M	rs1805673	9163059	9163059	3.37154E-5	.	.
14	EIF2B2	SNP14-74660575	75590822	75590822	3.52797E-5	.	.
12	A2M-AS1	rs1805673	9163059	9163059	3.52797E-5	.	.
3	RBM6	SNP3-50114146	50139142	50139142	3.54955E-5	.	.
4	SULT1E1	rs2292092	70592790	70592790	3.55264E-5	.	.
6	HLA-DPA1	SNP6-33141036	33033058	33033058	3.71702E-5	.	.
6	HLA-DPA1	SNP6-33145500	33037522	33037522	3.71702E-5	.	.
6	HLA-DPA1	rs3077	33033022	33033022	3.71702E-5	.	.
11	TMEM9B-AS1	SNP11-8925885	8969309	8969309	3.72026E-5	.	.
15	GALK2	rs11638215	49325289	49325289	3.78872E-5	.	.
6	VNN3	rs2294758	133045812	133045812	3.86509E-5	.	.
2	SH2D6	rs6547611	85548639	85548639	4.07475E-5	.	.
3	RBM6	rs2240326	50128386	50128386	4.14581E-5	.	.
1	PPP2R5A	SNP1-210601655	212535032	212535032	4.46498E-5	.	.
2	CNRIP1	rs1060842	68402012	68402012	4.84045E-5	.	.
14	EIF2B2	rs13712	75483812	75483812	5.17013E-5	.	.
14	GSKIP	rs2053588	96846092	96846092	5.29069E-5	.	.
12	LINC02470	rs479499	10137557	10137557	5.34056E-5	.	.
7	TMEM176B	SNP7-150071582	150440649	150440649	5.34512E-5	.	.
9	SUGT1P4-STRA6LP	rs2045732	100194406	100194406	5.43702E-5	.	.
12	LINC02390	SNP12-9713654	9822387	9822387	5.58718E-5	.	.
12	PZP	SNP12-9052915	9161648	9161648	5.67819E-5	.	.
10	LIPA	rs1051338	91007360	91007360	5.68302E-5	.	.
7	KLHL7-DT	rs15775	23164701	23164701	5.68302E-5	.	.
8	ADAM32	SNP8-38949207	38830050	38830050	5.83961E-5	.	.
6	HLA-DPA1	SNP6-33140946	33032968	33032968	5.83961E-5	.	.
12	RAPGEF3	SNP12-46386325	48100058	48100058	5.84457E-5	.	.
10	CUBN	rs1049341	17279562	17279562	5.93451E-5	.	.
19	ZNF419	rs3746217	58153009	58153009	5.93954E-5	.	.
19	ZNF419	rs3746218	58153000	58153000	5.93954E-5	.	.
12	PZP	rs1805673	9163059	9163059	6.31287E-5	.	.
5	SETD9	rs702689	56177443	56177443	6.67451E-5	.	.
6	HLA-DQB1-AS1	rs14004	32407709	32407709	6.67451E-5	.	.
8	LRRC6	rs1048490	133722281	133722281	6.96729E-5	.	.
12	A2M-AS1	SNP12-9054570	9163303	9163303	7.16919E-5	.	.
12	A2M	SNP12-9054570	9163303	9163303	7.16919E-5	.	.
19	ZNF211	rs11879465	58152795	58152795	7.20538E-5	.	.
15	PPCDC	rs1127796	75193004	75193004	7.66628E-5	.	.
2	LINC00487	rs10495545	6990020	6990020	7.66628E-5	.	.
4	RN7SKP244	rs3737488	89607905	89607905	8.29891E-5	.	.
1	S100A12	rs4772	153346263	153346263	9.45376E-5	.	.
12	PZP	SNP12-9054570	9163303	9163303	9.65908E-5	.	.
15	PPCDC	rs6495127	75194490	75194490	9.7231E-5	.	.
14	POMT2	rs17751562	77977493	77977493	9.86046E-5	.	.
19	LINC00665	rs2070132	36727365	36727365	9.8686E-5	.	.
21	LCA5L	SNP21-39691160	40769290	40769290	9.99967E-5	.	.
6	VNN3	rs2267952	133067782	133067782	0.0001008	.	.
12	CLEC1B	SNP12-10034765	10143498	10143498	0.0001015	.	.
6	HLA-DPA1	SNP6-33144831	33036853	33036853	0.0001043	.	.
6	MOG	rs885945	29696852	29696852	0.0001059	.	.
12	LINC02470	rs1060648	10136199	10136199	0.0001074	.	.
9	OLFM1	rs2989735	137801416	137801416	0.0001169	.	.
10	CELF2-AS2	SNP10-11312607	11272601	11272601	0.0001172	.	.
6	HLA-DPA1	rs7905	33032975	33032975	0.0001219	.	.
19	ZNF419	rs11879465	58152795	58152795	0.0001254	.	.
6	HCG22	rs9263875	31170914	31170914	0.0001273	.	.
9	CUTALP	SNP9-122450640	123410819	123410819	0.0001295	.	.
15	GALK2	rs1054307	49281624	49281624	0.0001328	.	.
12	LINC00612	SNP12-9052915	9161648	9161648	0.0001342	.	.
12	LINC02470	rs684134	10137259	10137259	0.0001361	.	.
9	CUTALP	SNP9-122403354	123363533	123363533	0.0001384	.	.
