SNPChr	ProbeName	SNPName	SNPChrPos	SNPChrPos	PValue	.	.
8	IMPA1P1	rs1058401	82570631	82570631	0.0001178	.	.
2	LINC01963	rs207906	217012901	217012901	0.0001229	.	.
2	DOCK10	rs7589474	225727431	225727431	0.000123	.	.
2	LRRFIP1	rs7609062	238671889	238671889	0.000123	.	.
15	ULK3	rs6495127	75194490	75194490	0.0001302	.	.
14	EIF2B2	rs13712	75483812	75483812	0.0001313	.	.
20	SIRPB1	SNP20-1478263	1530263	1530263	0.0001339	.	.
5	ERAP2	rs11746232	96363459	96363459	0.0001339	.	.
6	HLA-DQA1	rs3177928	32412435	32412435	0.000134	.	.
12	LINC00987	SNP12-9052915	9161648	9161648	0.0001348	.	.
12	MAPKAPK5	SNP12-110961438	112477055	112477055	0.0001357	.	.
5	ZBED3	SNP5-76394780	76359024	76359024	0.0001407	.	.
17	UNK	rs3682	73942150	73942150	0.0001458	.	.
1	OMA1	rs7537470	59002221	59002221	0.0001458	.	.
5	RN7SKP62	SNP5-100175108	100147209	100147209	0.0001458	.	.
21	TTC3	SNP21-37517782	38595912	38595912	0.0001521	.	.
17	AMZ2	rs3213690	66246416	66246416	0.0001522	.	.
12	LINC00987	rs1805673	9163059	9163059	0.000154	.	.
5	CAST	rs1057569	96109610	96109610	0.0001656	.	.
3	BRK1	SNP3-10143802	10168802	10168802	0.0001663	.	.
5	PARP8	SNP5-50108617	50072860	50072860	0.0001675	.	.
6	VNN2	rs9483499	133076896	133076896	0.0001703	.	.
5	YIPF5	rs12109284	143539785	143539785	0.0001725	.	.
3	GPR160	SNP3-171291048	169808354	169808354	0.0001727	.	.
3	GPR160	rs7615039	169806170	169806170	0.0001727	.	.
5	CAST	SNP5-96137127	96111371	96111371	0.0001746	.	.
1	GBP3	SNP1-89355278	89582690	89582690	0.0001798	.	.
3	EAF2	rs9884018	121563355	121563355	0.00018	.	.
6	VNN3	rs2267952	133067782	133067782	0.0001849	.	.
7	CCT6P3	rs3807069	64439701	64439701	0.0001877	.	.
1	CTSK	SNP1-149004824	150738200	150738200	0.0001877	.	.
7	CCT6P3	SNP7-64077048	64439613	64439613	0.0001877	.	.
1	CTSK	rs10888390	150727539	150727539	0.0001877	.	.
3	ATP13A4	SNP3-194896426	193413732	193413732	0.0001956	.	.
8	CPNE3	rs1062853	87571822	87571822	0.0001956	.	.
9	LINC00476	rs10512243	98775459	98775459	0.0001962	.	.
